Feature,Importance
timestep_10_feature_31,0.01682352
timestep_7_feature_31,0.011584193
timestep_10_feature_135,0.01134013
timestep_10_feature_14,0.010687498
timestep_7_feature_14,0.009987479
timestep_8_feature_127,0.009248446
timestep_9_feature_14,0.009065204
timestep_10_feature_55,0.009058272
timestep_8_feature_23,0.008534232
timestep_8_feature_14,0.008169761
timestep_9_feature_155,0.0080888
timestep_9_feature_3,0.0075360206
timestep_9_feature_31,0.007481941
timestep_8_feature_31,0.007316307
timestep_10_feature_23,0.007173347
timestep_2_feature_155,0.0071457634
timestep_6_feature_23,0.007052295
timestep_5_feature_23,0.0068666246
timestep_5_feature_13,0.006518599
timestep_6_feature_31,0.0062353085
timestep_7_feature_119,0.006062434
timestep_3_feature_130,0.0058835065
timestep_4_feature_135,0.0057190647
timestep_2_feature_128,0.005576007
timestep_4_feature_155,0.0055012
timestep_9_feature_55,0.005355211
timestep_10_feature_22,0.0053483066
timestep_8_feature_158,0.0052730744
timestep_9_feature_23,0.005106031
timestep_2_feature_135,0.004931111
timestep_4_feature_147,0.0049073873
timestep_7_feature_85,0.0048201657
timestep_10_feature_69,0.0047434084
timestep_5_feature_31,0.0047062654
timestep_10_feature_127,0.0046749488
timestep_10_feature_155,0.0045582885
timestep_10_feature_15,0.0044957614
timestep_9_feature_56,0.004293162
timestep_4_feature_119,0.004233964
timestep_1_feature_127,0.004192833
timestep_8_feature_155,0.004109519
timestep_9_feature_157,0.004074163
timestep_3_feature_104,0.0039029294
timestep_6_feature_79,0.0038756358
timestep_1_feature_156,0.003830909
timestep_2_feature_147,0.0037763556
timestep_3_feature_147,0.003760069
timestep_1_feature_136,0.0037568216
timestep_3_feature_15,0.00375294
timestep_6_feature_15,0.0037479247
timestep_2_feature_119,0.0035854692
timestep_1_feature_23,0.003445219
timestep_6_feature_119,0.0033957702
timestep_7_feature_155,0.003336644
timestep_10_feature_16,0.0033051309
timestep_9_feature_12,0.0032952083
timestep_2_feature_88,0.003274068
timestep_5_feature_95,0.0032290854
timestep_1_feature_135,0.0031712723
timestep_6_feature_156,0.0031631852
timestep_3_feature_120,0.0031530876
timestep_10_feature_147,0.0031142612
timestep_9_feature_135,0.0031075524
timestep_9_feature_87,0.0031035875
timestep_9_feature_119,0.0030980343
timestep_1_feature_24,0.0030660776
timestep_2_feature_120,0.0030501492
timestep_2_feature_127,0.0030439158
timestep_9_feature_47,0.0030217425
timestep_9_feature_152,0.003015346
timestep_9_feature_21,0.0030130288
timestep_4_feature_12,0.0030069938
timestep_4_feature_156,0.0029932254
timestep_6_feature_155,0.0029854516
timestep_10_feature_142,0.0029850656
timestep_5_feature_119,0.0028914257
timestep_8_feature_15,0.0028819898
timestep_10_feature_111,0.0028803612
timestep_4_feature_120,0.0028610516
timestep_2_feature_60,0.0028557049
timestep_6_feature_111,0.0027706595
timestep_4_feature_128,0.0027587346
timestep_4_feature_152,0.0027383645
timestep_1_feature_103,0.0027214591
timestep_6_feature_24,0.0026779012
timestep_5_feature_142,0.0026548328
timestep_4_feature_31,0.0026467543
timestep_6_feature_157,0.0026332394
timestep_1_feature_120,0.00261356
timestep_8_feature_136,0.0026039532
timestep_8_feature_104,0.002590647
timestep_4_feature_143,0.0025896716
timestep_8_feature_56,0.0025785943
timestep_2_feature_96,0.0025739705
timestep_2_feature_156,0.0025595163
timestep_4_feature_55,0.0025516485
timestep_10_feature_112,0.0025493943
timestep_2_feature_143,0.0025176308
timestep_7_feature_33,0.002512159
timestep_7_feature_15,0.0025005233
timestep_4_feature_112,0.0024687392
timestep_8_feature_111,0.0024436999
timestep_10_feature_134,0.0024309768
timestep_10_feature_158,0.0024180363
timestep_1_feature_36,0.0024109096
timestep_8_feature_48,0.002399833
timestep_8_feature_47,0.0023953984
timestep_8_feature_96,0.0023101084
timestep_2_feature_144,0.0023057607
timestep_9_feature_79,0.002305677
timestep_4_feature_151,0.0022835785
timestep_10_feature_95,0.0022780285
timestep_8_feature_51,0.0022752658
timestep_6_feature_8,0.0022588223
timestep_5_feature_14,0.00224449
timestep_2_feature_23,0.0022396643
timestep_9_feature_39,0.002237518
timestep_8_feature_157,0.0022323404
timestep_1_feature_119,0.0022198118
timestep_5_feature_143,0.0022129626
timestep_9_feature_76,0.0021958128
timestep_6_feature_64,0.0021786517
timestep_9_feature_52,0.0021340486
timestep_10_feature_133,0.0021298502
timestep_7_feature_157,0.002124333
timestep_4_feature_48,0.0021226706
timestep_10_feature_5,0.0021207691
timestep_1_feature_121,0.0021062607
timestep_6_feature_115,0.0021053907
timestep_5_feature_96,0.002086345
timestep_10_feature_8,0.0020768337
timestep_1_feature_32,0.0020686872
timestep_10_feature_119,0.002066855
timestep_6_feature_39,0.0020579812
timestep_9_feature_158,0.0020546997
timestep_3_feature_151,0.0020520505
timestep_9_feature_127,0.0020395399
timestep_4_feature_23,0.0020287756
timestep_7_feature_24,0.0020257807
timestep_3_feature_54,0.0020228855
timestep_7_feature_39,0.0020202517
timestep_4_feature_49,0.002016732
timestep_6_feature_22,0.0020155623
timestep_3_feature_88,0.0020028776
timestep_3_feature_72,0.0019926243
timestep_4_feature_96,0.001985906
timestep_10_feature_38,0.0019760597
timestep_10_feature_28,0.0019738534
timestep_10_feature_156,0.0019708206
timestep_8_feature_71,0.0019688904
timestep_9_feature_2,0.00196458
timestep_4_feature_92,0.0019622731
timestep_6_feature_129,0.0019461088
timestep_1_feature_31,0.0019376985
timestep_7_feature_143,0.0019291785
timestep_8_feature_135,0.0019278653
timestep_1_feature_88,0.0019187188
timestep_2_feature_31,0.0019157268
timestep_6_feature_54,0.0019131136
timestep_1_feature_125,0.001902487
timestep_10_feature_50,0.0018971587
timestep_8_feature_25,0.0018909666
timestep_5_feature_157,0.0018795711
timestep_6_feature_120,0.0018673122
timestep_6_feature_135,0.0018630145
timestep_8_feature_2,0.0018475354
timestep_4_feature_39,0.001817791
timestep_9_feature_111,0.0018170101
timestep_10_feature_12,0.0018080965
timestep_10_feature_88,0.0017795436
timestep_9_feature_150,0.0017692642
timestep_6_feature_150,0.0017009304
timestep_8_feature_54,0.0016993183
timestep_5_feature_39,0.0016832051
timestep_4_feature_141,0.0016790304
timestep_4_feature_159,0.0016730671
timestep_2_feature_104,0.0016616062
timestep_5_feature_104,0.0016496001
timestep_7_feature_156,0.0016411489
timestep_7_feature_120,0.0016380274
timestep_10_feature_24,0.0016195732
timestep_3_feature_156,0.0016168428
timestep_3_feature_48,0.0016168199
timestep_6_feature_47,0.0016159603
timestep_2_feature_1,0.0016045395
timestep_10_feature_36,0.0015899349
timestep_10_feature_159,0.0015598378
timestep_10_feature_87,0.0015495272
timestep_8_feature_10,0.0015485287
timestep_6_feature_48,0.001539441
timestep_1_feature_63,0.0015386216
timestep_2_feature_15,0.0015346963
timestep_4_feature_144,0.0015298801
timestep_3_feature_96,0.0015251518
timestep_7_feature_152,0.0015211094
timestep_1_feature_15,0.0015197509
timestep_2_feature_54,0.0015190446
timestep_9_feature_24,0.0015166131
timestep_4_feature_14,0.0015087647
timestep_7_feature_135,0.0015059338
timestep_9_feature_120,0.0015049266
timestep_1_feature_48,0.0015035865
timestep_10_feature_103,0.0015020893
timestep_2_feature_32,0.0014998099
timestep_9_feature_147,0.0014911387
timestep_10_feature_48,0.0014886423
timestep_5_feature_24,0.0014839327
timestep_3_feature_119,0.0014830641
timestep_10_feature_64,0.0014803039
timestep_3_feature_5,0.001478289
timestep_5_feature_155,0.0014749045
timestep_4_feature_109,0.0014713022
timestep_7_feature_96,0.0014639792
timestep_6_feature_126,0.001463959
timestep_9_feature_159,0.0014523466
timestep_7_feature_55,0.0014503909
timestep_3_feature_118,0.0014371964
timestep_4_feature_87,0.001431314
timestep_8_feature_80,0.0014283137
timestep_9_feature_95,0.0014241228
timestep_4_feature_71,0.0014237278
timestep_5_feature_87,0.0013991853
timestep_7_feature_124,0.0013976644
timestep_10_feature_71,0.0013934408
timestep_2_feature_80,0.0013848472
timestep_9_feature_9,0.0013827744
timestep_5_feature_32,0.0013781588
timestep_10_feature_72,0.0013654989
timestep_2_feature_87,0.0013654841
timestep_9_feature_156,0.0013638877
timestep_6_feature_154,0.0013603898
